READ_CODE|TERM_60|TERM_ID|DESC_TYPE|RELEASE
p8gX.|MAC-CATH COMPLETE 10Ch MACM10 male length catheter|yz5jx|P|2012-10-01
p8gY.|MAC-CATH COMPLETE 12Ch MACM12 male length catheter|yz5jy|P|2012-10-01
p8gZ.|MAC-CATH COMPLETE 14Ch MACM14 male length catheter|yz5jz|P|2012-10-01
p8ga.|MAC-CATH COMPLETE 16Ch MACM16 male length catheter|yz5k0|P|2012-10-01
p8gb.|MAC-CATH COMPLETE 18Ch MACM18 male length catheter|yz5k1|P|2012-10-01
p8gc.|MAC-CATH COMPLETE 20Ch MACM20 male length catheter|yz5k2|P|2012-10-01
p8gd.|MAC-CATH COMPLETE 22Ch MACM22 male length catheter|yz5k3|P|2012-10-01
p8ge.|MAC-CATH COMPLETE 24Ch MACM24 male length catheter|yz5k4|P|2012-10-01
p8gf.|MAC-CATH COMPLETE 8Ch MACF08 female length catheter|yz5k5|P|2012-10-01
p8gg.|MAC-CATH COMPLETE 10Ch MACF10 female length catheter|yz5k6|P|2012-10-01
p8gh.|MAC-CATH COMPLETE 12Ch MACF12 female length catheter|yz5k7|P|2012-10-01
p8gi.|MAC-CATH COMPLETE 14Ch MACF14 female length catheter|yz5k8|P|2012-10-01
p8gj.|MAC-CATH COMPLETE 16Ch MACF16 female length catheter|yz5k9|P|2012-10-01
p8gk.|MAC-CATH COMPLETE 6Ch MACP06 paediatric length catheter|yz5kA|P|2012-10-01
p8gl.|MAC-CATH COMPLETE 8Ch MACP08 paediatric length catheter|yz5kB|P|2012-10-01
p8gm.|MAC-CATH COMPLETE 10Ch MACP10 paediatric length catheter|yz5kC|P|2012-10-01
p8gn.|MAC-CATH COMPLETE 10Ch MACT10 Tiemann tip catheter|yz5kD|P|2012-10-01
p8go.|MAC-CATH COMPLETE 12Ch MACT12 Tiemann tip catheter|yz5kE|P|2012-10-01
p8gp.|MAC-CATH COMPLETE 14Ch MACT14 Tiemann tip catheter|yz5kF|P|2012-10-01
p8gq.|MAC-CATH COMPLETE 16Ch MACT16 Tiemann tip catheter|yz5kG|P|2012-10-01
p8gr.|SMOOTH NELATON 8Ch SNM08 40cm male catheter|yz5uh|P|2012-10-01
p8gs.|SMOOTH NELATON 10Ch SNM10 40cm male catheter|yz5ui|P|2012-10-01
p8gt.|SMOOTH NELATON 12Ch SNM12 40cm male catheter|yz5uj|P|2012-10-01
p8gu.|SMOOTH NELATON 14Ch SNM14 40cm male catheter|yz5uk|P|2012-10-01
p8gv.|SMOOTH NELATON 8Ch SNF08 18cm female catheter|yz5ul|P|2012-10-01
p8gw.|SMOOTH NELATON 10Ch SNF10 18cm female catheter|yz5um|P|2012-10-01
p8gx.|SMOOTH NELATON 12Ch SNF12 18cm female catheter|yz5un|P|2012-10-01
p8gy.|SMOOTH NELATON 14Ch SNF14 18cm female catheter|yz5uo|P|2012-10-01
pv4M.|YUSHIN B3 8Ch 08470803 2-way silicone paed suprapubic cath|yz5pi|P|2012-10-01
XaZSU|Pulsed radiofrequency to occipital nerve|YavWf|P|2012-10-01
XaZbq|Photocoagulation of eye|Yavf7|P|2012-10-01
XaZSy|Percutaneous coronary intervention|YavX5|P|2012-10-01
XaZQl|Maintenance of percutaneous endoscopic gastrostomy tube|YavVi|P|2012-10-01
XaZVW|Laparoscopically assisted right hemicolectomy|YavZ4|P|2012-10-01
XaZZX|Replacement of intrauterine system|Yavbr|P|2012-10-01
XaZZX|Replacement of IUS (intrauterine system)|Yavbs|S|2012-10-01
XaZjg|Prim op red frac neck fem op fix us prox fem nail antirotatn|YavjF|P|2012-10-01
XaZep|Intravenous infusion of iron|YavhN|P|2012-10-01
XaZbJ|Injection of platelet-rich plasma|YaveT|P|2012-10-01
XaZbJ|Injection of PRP (platelet-rich plasma)|YaveU|S|2012-10-01
XaZLQ|Screening for risk of falls|YavT1|P|2012-10-01
XaZly|Transoesophageal echocardiographic monitoring|Yavk5|P|2012-10-01
XaZdL|Electrocardiogram rhythm strip monitoring|YavgI|P|2012-10-01
XaZdL|ECG (electrocardiogram) rhythm strip monitoring|YavgJ|S|2012-10-01
XaZle|Monitoring of cardiac output using echocardiography|Yavjx|P|2012-10-01
XaZkc|Monitoring of CO using thoracic impedance cardiography|YavjR|P|2012-10-01
XaZkb|Monitoring of cardiac output using pulse contour analysis|YavjQ|P|2012-10-01
XaZka|Monitoring cardiac output using continuous oesophag doppler|YavjP|P|2012-10-01
XaZhV|High risk of diabetes mellitus annual review|YaviW|P|2012-10-01
XaZS6|Date insulin pump therapy started|YavWI|P|2012-10-01
XaZS7|Date insulin pump therapy stopped|YavWJ|P|2012-10-01
XaZZx|Amiodarone monitoring|YavcF|P|2012-10-01
XaZdB|Rheumatoid arthritis annual review|Yavg6|P|2012-10-01
XaZfX|Warfarin daily dose|Yavhm|P|2012-10-01
XaZZB|Gonadotrophin releasing hormone analogue prophylaxis|Yavbe|P|2012-10-01
XaZZB|GnRH (gonadotrophin releasing hormone) analogue prophylaxis|Yavd9|S|2012-10-01
XaZWZ|Electrochemotherapy|YavZz|P|2012-10-01
XaZVu|Oral typhoid vaccination|YavZI|P|2012-10-01
XaZVN|Post exposure DTaP/IPV vaccination|YavZ1|P|2012-10-01
XaZc6|Dietary education for eating out|YavfK|P|2012-10-01
XaZKh|Provision of information about antenatal screening|YavSI|P|2012-10-01
XaZce|Education about self-help group|Yavfj|P|2012-10-01
XaZcW|Eye care education|Yavfb|P|2012-10-01
XaZcT|Education about diabetic retinopathy|YavfY|P|2012-10-01
XaZcR|Education about diabetic nephropathy|YavfW|P|2012-10-01
XaZcP|Education about diabetic neuropathy|YavfU|P|2012-10-01
XaZcO|Education about ketoacidosis|YavfT|P|2012-10-01
XaZcN|Hyperglycaemia education|YavfS|P|2012-10-01
XaZc9|Hypoglycaemia education|YavfN|P|2012-10-01
XaZc7|Safe disposal of sharp device education|YavfL|P|2012-10-01
XaZIw|Education about prevention of sexually transmitted disease|YavQn|P|2012-10-01
XaZcC|Education about management of vomiting|YavfP|P|2012-10-01
XaZKr|Insulin administration education|YavST|P|2012-10-01
XaZMa|Education about risk of breast cancer|YavTL|P|2012-10-01
XaZVg|Education about human papillomavirus|YavZG|P|2012-10-01
XaZX4|Education about risk of venous thromboembolism|Yavab|P|2012-10-01
XaZZi|Education for psoriasis care|Yavc1|P|2012-10-01
XaZIC|Rehabilitation for heart failure|YavQI|P|2012-10-01
XaZci|Ear care assessment|Yavfn|P|2012-10-01
XaZkY|Ear care follow-up assessment|YavjN|P|2012-10-01
XaZhh|Ear care initial assessment|Yavie|P|2012-10-01
XaZKW|Assessment for cardiac resynchronisation therapy|YavS7|P|2012-10-01
XaZfL|Assess risk dep lib in accord MCA 2005 Dep lib safe Cde Prac|Yavhc|P|2012-10-01
XaZTl|Assessment of Year of Care action confidence|YavXe|P|2012-10-01
XaZTk|Assessment of Year of Care goal importance|YavXd|P|2012-10-01
XaZJV|Assessment for nebuliser therapy|YavRC|P|2012-10-01
XaZih|Heart failure clinical pathway|Yaviz|P|2012-10-01
XaZig|Diabetes clinical pathway|Yaviy|P|2012-10-01
XaZif|Audiology clinical pathway|Yavix|P|2012-10-01
XaZee|Chronic obstructive pulmonary disease care pathway|YavhD|P|2012-10-01
XaZe1|End of life care pathway|Yavgf|P|2012-10-01
XaZdZ|Low back pain clinical pathway|YavgK|P|2012-10-01
XaZdb|Constipation in children clinical pathway|YavgL|P|2012-10-01
XaZeb|Falls care pathway|YavhA|P|2012-10-01
XaZdc|Atrial fibrillation care pathway|YavgM|P|2012-10-01
XaZJT|Map of Medicine pathway|YavRA|P|2012-10-01
XaZbe|Provision of splint|Yavev|P|2012-10-01
XaZbn|Provision of working splint wrist brace|Yavf4|P|2012-10-01
XaZc5|Child protection medical examination|YavfJ|P|2012-10-01
XaZVY|Annual school medical examination|YavZ8|P|2012-10-01
XaZNd|Discussion about deactivation of automatic ICD|YavUY|P|2012-10-01
XaZL7|Discussion about risks of combined oral contraception|YavSi|P|2012-10-01
XaZHM|Discussion about HIV post exposure prophylaxis|YavPZ|P|2012-10-01
XaZNY|Mouth care assessment|YavUW|P|2012-10-01
XaZLJ|Provision of incontinence pad|YavSu|P|2012-10-01
XaZjJ|Advance care planning|Yavj6|P|2012-10-01
XaZjJ|ACP - advance care planning|Yavj7|S|2012-10-01
XaZPk|Establishing focus of care|YavVD|P|2012-10-01
XaZPl|Establishing focus of care with specialist cancer team|YavVE|P|2012-10-01
XaZJU|Following clinical pathway protocol|Yavcn|P|2012-10-01
XaZJU|Following clinical care pathway|YavRB|S|2012-10-01
XaZLT|Review of supportive care plan|YavT5|P|2012-10-01
XaZYs|Agreeing on patient actions in care plan|YavbW|P|2012-10-01
XaZYr|Agreeing on health professional actions in care plan|YavbV|P|2012-10-01
XaZbg|Provision of written info about carpal tunnel syndrome|Yavex|P|2012-10-01
XaZKB|Provision of written information about bbv transmission risk|YavRm|P|2012-10-01
XaZKc|Healthy Start programme|YavSD|P|2012-10-01
XaZHf|Keep Well health check review|YavPs|P|2012-10-01
XaZHe|Keep Well health check|YavPr|P|2012-10-01
XaZPx|Paroxysmal nocturnal haemoglobinuria screening test|YavVQ|P|2012-10-01
XaZPx|PNH (paroxysmal nocturnal haemoglobinuria) screening test|YavXJ|S|2012-10-01
XaZJg|Serologic test for herpes simplex|YavRN|P|2012-10-01
XaZfI|Vegetables mix RAST test|YavhZ|P|2012-10-01
XaZhW|Pityrosporum orbiculare RAST test|YaviX|P|2012-10-01
XaZfK|Asparagus RAST test|Yavhb|P|2012-10-01
XaZfQ|Dust mix RAST test|Yavhh|P|2012-10-01
XaZen|Fig RAST test|YavhK|P|2012-10-01
XaZHY|Oral penicillin challenge test|YavPn|P|2012-10-01
XaZbF|Black fracture index|YaveQ|P|2012-10-01
XaZZW|Bristol activities of daily living scale|Yavbq|P|2012-10-01
XaZb0|Assessment scales C|YaveA|P|2012-10-01
XaZho|Combined Predictive Model|Yavij|P|2012-10-01
XaZho|CPM - Combined Predictive Model|Yavik|S|2012-10-01
XaZMW|Clarke hypoglycaemia awareness questionnaire|YavTI|P|2012-10-01
XaZb1|Assessment scales D|YaveB|P|2012-10-01
XaZZr|Dyspnoea,obstruction, smoking, exacerbation frequency index|Yavc8|P|2012-10-01
XaZZr|Dyspnoea,obstruction, smoking, exacerbation frequency index|Yavc9|S|2012-10-01
XaZMQ|Diabetes quality of life questionnaire|YavTF|P|2012-10-01
XaZb2|Assessment scales E|YaveC|P|2012-10-01
XaZcA|Edmonton symptom assessment system|YavfO|P|2012-10-01
XaZNP|EuroQol five dimension self-report questionnaire|YavUP|P|2012-10-01
XaZNP|EQ-5D (EuroQol five dimension) self-report questionnaire|YavUQ|S|2012-10-01
XaZJo|Edmonton frail scale|YavRP|P|2012-10-01
XaZb3|Assessment scales F|YaveD|P|2012-10-01
XaZP6|Falls risk assessment tool|YavV3|P|2012-10-01
XaZP6|FRAT - falls risk assessment tool|YavV4|S|2012-10-01
XaZb8|Assessment scales G|YaveG|P|2012-10-01
XaZax|Gold standards framework prognostic indicator|Yave9|P|2012-10-01
XaZJQ|Generalised anxiety disorder 2 scale|YavR8|P|2012-10-01
XaZJQ|GAD-2 (generalised anxiety disorder 2) scale|YavR9|S|2012-10-01
XaZb9|Assessment scales H|YaveH|P|2012-10-01
XaZN4|Heart rate walking speed index|YavU0|P|2012-10-01
XaZLX|Hypoglycaemia fear survey|YavT9|P|2012-10-01
XaZbB|Assessment scales I|YaveJ|P|2012-10-01
XaZcV|Assessment scales J-K|Yavfa|P|2012-10-01
XaZcS|Kamath and Stothard carpal tunnel syndrome questionnaire|YavfX|P|2012-10-01
XaZcZ|Assessment scales M|Yavfe|P|2012-10-01
XaZUh|Modified elderly mobility scale|YavYQ|P|2012-10-01
XaZGe|Modified Rankin scale|YavOs|P|2012-10-01
XaZcY|Assessment scales L|Yavfd|P|2012-10-01
XaZYZ|Lindop Parkinson's assessment scale|YavbC|P|2012-10-01
XaZKs|Lung function questionnaire|YavUL|P|2012-10-01
XaZKs|LFQ - lung function questionnaire|YavUM|S|2012-10-01
XaZca|Assessment scales N|Yavff|P|2012-10-01
XaZJd|National Cancer Institute breast cancer risk assessment tool|YavRM|P|2012-10-01
XaZcb|Assessment scales O|Yavfg|P|2012-10-01
XaZjD|Obesity and weight loss quality of life questionnaire|Yavj5|P|2012-10-01
XaZbs|Assessment scales P|Yavf9|P|2012-10-01
XaZgc|Pelvic organ prolapse symptom score|YaviI|P|2012-10-01
XaZgc|POP-SS - pelvic organ prolapse symptom score|YaviJ|S|2012-10-01
XaZeN|Post-traumatic stress disorder impact of events scale|Yavgx|P|2012-10-01
XaZJN|Patient health questionnaire 2|YavR6|P|2012-10-01
XaZJN|PHQ-2 - patient health questionnaire 2|YavR7|S|2012-10-01
XaZbt|Assessment scales Q|YavfA|P|2012-10-01
XaZfF|QThrombosis risk calculator|YavhX|P|2012-10-01
XaZfC|QKidney disease risk calculator|YavhW|P|2012-10-01
XaZeq|QCancer risk calculator|YavhO|P|2012-10-01
XaZew|QCancer pancreatic cancer risk calculator|YavhU|P|2012-10-01
XaZev|QCancer ovarian cancer risk calculator|YavhT|P|2012-10-01
XaZeu|QCancer renal cancer risk calculator|YavhS|P|2012-10-01
XaZet|QCancer gastro-oesophageal cancer risk calculator|YavhR|P|2012-10-01
XaZes|QCancer lung cancer risk calculator|YavhQ|P|2012-10-01
XaZer|QCancer colorectal cancer risk calculator|YavhP|P|2012-10-01
XaZeJ|QFracture risk calculator|Yavgv|P|2012-10-01
XaZbu|Assessment scales R|YavfB|P|2012-10-01
XaZbv|Assessment scales S|YavfC|P|2012-10-01
XaZcv|Assessment scales Sa-Sl|Yavft|P|2012-10-01
XaZe4|Short health anxiety inventory|Yavgi|P|2012-10-01
XaZcu|Assessment scales Sm-Sz|Yavfs|P|2012-10-01
XaZc0|Assessment scales T|YavfF|P|2012-10-01
XaZc4|Assessment scales U-Z|YavfI|P|2012-10-01
XaZjZ|Weight-related symptom measure|YavjC|P|2012-10-01
k8fI.|TIMOLOL 1mg/g single-dose eye gel|yz5i1|P|2012-10-01
k8fH.|TIOPEX 1mg/g single-dose eye gel 0.4g|yz5i0|P|2012-10-01
gc7D.|FARAMSIL 400micrograms m/r tablets|yz5jY|P|2012-10-01
c19A.|NEOVENT 25micrograms CFC-free inhaler|yz5jN|P|2012-10-01
du7d.|NICASSIST 7mg/24hours patches|yz5q1|P|2012-10-01
du7e.|NICASSIST 14mg/24hours patches|yz5q2|P|2012-10-01
du7f.|NICASSIST 21mg/24hours patches|yz5q3|P|2012-10-01
dy2I.|NIMVASTID 6mg capsules|yz5jV|P|2012-10-01
dy2F.|NIMVASTID 1.5mg capsules|yz5jS|P|2012-10-01
dy2G.|NIMVASTID 3mg capsules|yz5jT|P|2012-10-01
dy2H.|NIMVASTID 4.5mg capsules|yz5jU|P|2012-10-01
d4rN.|ZALASTA 15mg dispersible tablets|yz5hD|P|2012-10-01
d4rO.|ZALASTA 20mg dispersible tablets|yz5hE|P|2012-10-01
d4rP.|ZALASTA 10mg tablets|yz5hF|P|2012-10-01
d4rG.|ZALASTA 2.5mg tablets|yz5h6|P|2012-10-01
d4rM.|ZALASTA 10mg dispersible tablets|yz5hC|P|2012-10-01
d4rL.|ZALASTA 5mg dispersible tablets|yz5hB|P|2012-10-01
d4rK.|ZALASTA 20mg tablets|yz5hA|P|2012-10-01
d4rH.|ZALASTA 5mg tablets|yz5h7|P|2012-10-01
d4rI.|ZALASTA 7.5mg tablets|yz5h8|P|2012-10-01
d4rJ.|ZALASTA 15mg tablets|yz5h9|P|2012-10-01
ds24.|REVOCON 25mg tablets|yz5jQ|P|2012-10-01
d4x..|ASENAPINE|yz5hG|P|2012-10-01
d4x1.|SYCREST 5mg sublingual tablets|yz5hH|P|2012-10-01
d4x4.|ASENAPINE 10mg sublingual tablets|yz5hK|P|2012-10-01
d4x3.|SYCREST 10mg sublingual tablets|yz5hJ|P|2012-10-01
d4x2.|ASENAPINE 5mg sublingual tablets|yz5hI|P|2012-10-01
dhq4.|PALONOSETRON 500micrograms capsules|yz5jP|P|2012-10-01
dhq3.|ALOXI 500micrograms capsules|yz5jO|P|2012-10-01
dq3s.|LEVODOPA 175mg/CARBIDOPA 43.75mg/ENTACAPONE 200mg tablets|yz5q0|P|2012-10-01
dq3M.|STALEVO 175mg/43.75mg/200mg tablets|yz5pz|P|2012-10-01
dqEo.|PRAMIPEXOLE 1.1mg tablets|yz5rW|P|2012-10-01
dA3..|FAMPRIDINE|yz5hL|P|2012-10-01
dA32.|FAMPRIDINE 10mg m/r tablets|yz5hN|P|2012-10-01
dA31.|FAMPYRA 10mg m/r tablets|yz5hM|P|2012-10-01
d1i..|DEXMEDETOMIDINE|yz5pn|P|2012-10-01
d1i1.|DEXDOR 200micrograms/2mL concentrate for soln for infusion|yz5po|P|2012-10-01
d1i2.|DEXMEDETOMIDINE 200micrograms/2mL conc for soln for inj|yz5pp|P|2012-10-01
d1i6.|DEXMEDETOMIDINE 1mg/10mL concentrate for soln for injection|yz5pt|P|2012-10-01
d1i4.|DEXMEDETOMIDINE 400micrograms/4mL conc for soln for inj|yz5pr|P|2012-10-01
d1i5.|DEXDOR 1mg/10mL concentrate for solution for infusion|yz5ps|P|2012-10-01
d1i3.|DEXDOR 400micrograms/4mL concentrate for soln for infusion|yz5pq|P|2012-10-01
bi6G.|RAMIPRIL 2.5mg/5mL oral solution|yz5ka|P|2012-10-01
bk4u.|VALSARTAN 3mg/mL oral solution|yz5pm|P|2012-10-01
bk4C.|DIOVAN 3mg/mL oral solution|yz5pl|P|2012-10-01
bxiB.|ATORVASTATIN 20mg chewable tablets|yz5jM|P|2012-10-01
bxiA.|LIPITOR 20mg chewable tablets|yz5jL|P|2012-10-01
bxi9.|ATORVASTATIN 10mg chewable tablets|yz5jK|P|2012-10-01
bxi8.|LIPITOR 10mg chewable tablets|yz5jJ|P|2012-10-01
a23P.|GAVISCON DOUBLE ACTION peppermint liquid sachets|yz5u7|P|2012-10-01
a23O.|GAVISCON peppermint flavour chewable tablets|yz5jE|P|2012-10-01
a22w.|ACIDEX MAX STRENGTH HEARTBURN RELIEF peppermint susp 500mL|yz5u3|P|2012-10-01
a22z.|ACIDEX MAX STRENGTH HEARTBURN RELIEF aniseed oral susp 500mL|yz5u6|P|2012-10-01
a22y.|ACIDEX MAX STRENGTH HEARTBURN RELIEF aniseed oral susp 250mL|yz5u5|P|2012-10-01
a22x.|ACIDEX MAX STRENGTH HEARTBURN RELIEF peppermint susp 250mL|yz5u4|P|2012-10-01
aa3g.|SALOFALK 3g/sachet m/r granules|yz5kV|P|2012-10-01
aa3h.|MESALAZINE 3g/sachet m/r granules|yz5kW|P|2012-10-01
ae1B.|LACTULOSE 10g/15mL oral solution sachet|yz5kZ|P|2012-10-01
aw16.|ORLISTAT 27mg chewable tablets|yz5jG|P|2012-10-01
aw15.|ALLI 27mg chewable tablets|yz5jF|P|2012-10-01
c8nM.|CETIRIZINE 10mg capsules|yz5u9|P|2012-10-01
c8nL.|BENADRYL ALLERGY LIQUID RELEASE 10mg capsules|yz5u8|P|2012-10-01
j2oP.|VOLTAROL ACTIVE 4% spray 15mL|yz5qj|P|2012-10-01
j2oQ.|VOLTAROL ACTIVE 4% spray 30mL|yz5qk|P|2012-10-01
m28r.|AQUAMAX wash 250g|yz5rv|P|2012-10-01
m28l.|ARIPRO mousse 250mL|yz5i2|P|2012-10-01
m28m.|DEXERYL cream 500g|yz5jk|P|2012-10-01
m28n.|AQUAMAX cream 30g|yz5rr|P|2012-10-01
m28o.|AQUAMAX cream 100g|yz5rs|P|2012-10-01
m28p.|AQUAMAX cream 500g|yz5rt|P|2012-10-01
m28q.|AQUAMAX wash 30g|yz5ru|P|2012-10-01
m23U.|ZERODERM ointment 500g|yz5ua|P|2012-10-01
m23Q.|THIRTY:30 ointment 125g|yz5qn|P|2012-10-01
m23R.|THIRTY:30 ointment 250g|yz5qo|P|2012-10-01
m23S.|THIRTY:30 ointment 500g|yz5qp|P|2012-10-01
m23T.|ZERODERM ointment 125g|yz5uZ|P|2012-10-01
m22Q.|FIFTY:50 ointment 500g|yz5qm|P|2012-10-01
m22P.|FIFTY:50 ointment 250g|yz5ql|P|2012-10-01
m24X.|FLEXITOL 10% cream 500g|yz5jj|P|2012-10-01
m24W.|FLEXITOL 10% cream 150g|yz5ji|P|2012-10-01
egCF.|EVOXIL 500mg tablets|yz5jW|P|2012-10-01
g42p.|CLOTRIMAZOLE 500mg vaginal capsules|yz5qA|P|2012-10-01
g42K.|CANESTEN 500mg soft gel pessaries|yz5q9|P|2012-10-01
eh8m.|AZOCAN-P 150mg capsules|yz5q4|P|2012-10-01
eiK7.|NEVIRAPINE 50mg m/r tablets|yz5hR|P|2012-10-01
eiK8.|VIRAMUNE 400mg m/r tablets|yz5hS|P|2012-10-01
eiK9.|NEVIRAPINE 400mg m/r tablets|yz5hT|P|2012-10-01
eiK5.|NEVIRAPINE 100mg m/r tablets|yz5hP|P|2012-10-01
eiK4.|VIRAMUNE 100mg m/r tablets|yz5hO|P|2012-10-01
eiK6.|VIRAMUNE 50mg m/r tablets|yz5hQ|P|2012-10-01
eip..|RILPIVIRINE|yz5kf|P|2012-10-01
eip2.|RILPIVIRINE 25mg tablets|yz5kh|P|2012-10-01
eip1.|EDURANT 25mg tablets|yz5kg|P|2012-10-01
eio..|TELAPREVIR|yz5hU|P|2012-10-01
eio2.|TELAPREVIR 375mg tablets|yz5hW|P|2012-10-01
eio1.|INCIVO 375mg tablets|yz5hV|P|2012-10-01
eim4.|ETRAVIRINE 200mg tablets|yz5q6|P|2012-10-01
eim3.|INTELENCE 200mg tablets|yz5q5|P|2012-10-01
eiq..|EMTRICITABINE/RILPIVIRINE/TENOFOVIR|yz5ki|P|2012-10-01
eiq2.|EMTRICITABINE/RILPIVIRINE/TENOFOVIR DISOPR 200/25/245mg tabs|yz5kk|P|2012-10-01
eiq1.|EVIPLERA 200mg/25mg/245mg tablets|yz5kj|P|2012-10-01
mik4.|PRONTOSAN WOUND GEL X 250g|yz5qr|P|2012-10-01
dj3e.|PREFIBIN 8mg sublingual tablets|yz5pw|P|2012-10-01
dj3d.|PREFIBIN 2mg sublingual tablets|yz5pv|P|2012-10-01
dj3c.|PREFIBIN 400micrograms sublingual tablets|yz5pu|P|2012-10-01
dj3g.|TEPHINE 400micrograms sublingual tablets|yz5py|P|2012-10-01
dj3f.|TEPHINE 200micrograms sublingual tablets|yz5px|P|2012-10-01
oa2K.|BUFYL 1mg/2micrograms/mL solution for infusion 250mL|yz5s7|P|2012-10-01
oa2L.|BUFYL 1mg/2micrograms/mL solution for infusion 500mL|yz5s8|P|2012-10-01
oa2O.|BUFYL 1.25mg/2micrograms/mL solution for infusion 500mL|yz5sB|P|2012-10-01
oa2N.|BUPIVACAINE HCL+FENTANYL 1.25mg/2micrograms/mL injection|yz5sA|P|2012-10-01
oa2M.|BUFYL 1.25mg/2micrograms/mL solution for infusion 250mL|yz5s9|P|2012-10-01
oa1P.|HYDRO-CAINE gel 6mL|yz5s5|P|2012-10-01
oa1S.|OPTILUBE ACTIVE gel 11mL|yz5uc|P|2012-10-01
oa1R.|OPTILUBE ACTIVE gel 6mL|yz5ub|P|2012-10-01
oa1Q.|HYDRO-CAINE gel 11mL|yz5s6|P|2012-10-01
oa3q.|PRILOCAINE+OCTAPRESSIN 3% self aspirating cartridges 2.2mL|yz5jr|P|2012-10-01
oa3p.|PRILOCAINE+OCTAPRESSIN 3% cartridges 2.2mL|yz5jq|P|2012-10-01
m367.|ARJUN 2% cream 500g|yz5kq|P|2012-10-01
m365.|ARJUN 1% cream 100g|yz5ko|P|2012-10-01
m366.|ARJUN 1% cream 500g|yz5kp|P|2012-10-01
m364.|ARJUN 0.5% cream 500g|yz5kn|P|2012-10-01
iddM.|VITAQUICK powder 6kg|yz5hi|P|2012-10-01
iddL.|VITAQUICK powder 2kg|yz5hh|P|2012-10-01
iddK.|VITAQUICK powder 300g|yz5hg|P|2012-10-01
idbI.|HCU COOLER RED liquid 130mL|yz5qO|P|2012-10-01
idbH.|HCU GEL 24g/sachet powder|yz5qN|P|2012-10-01
idbJ.|HCU EXPRESS20 34g/sachet unflavoured powder|yz5uU|P|2012-10-01
id6O.|VITAPRO powder 250g|yz5he|P|2012-10-01
id6P.|VITAPRO powder 2kg|yz5hf|P|2012-10-01
idfG.|MSUD GEL 24g/sachet powder|yz5qQ|P|2012-10-01
idfH.|MSUD EXPRESS20 34g/sachet unflavoured powder|yz5uV|P|2012-10-01
idBz.|PKU COOLER15 RED liquid 130mL|yz5qK|P|2012-10-01
idBt.|PKU-GEL 24g/sachet powder|yz5qE|P|2012-10-01
idBu.|PKU-GEL 24g/sachet raspberry powder|yz5qF|P|2012-10-01
idBv.|PKU-GEL 24g/sachet orange powder|yz5qG|P|2012-10-01
idBw.|PKU COOLER10 RED liquid 87mL|yz5qH|P|2012-10-01
idBx.|PKU COOLER15 ORANGE liquid 130mL|yz5qI|P|2012-10-01
idBy.|PKU COOLER15 PURPLE liquid 130mL|yz5qJ|P|2012-10-01
idF..|PHENYLKETONURIA FOOD (4)|yz5qL|P|2012-10-01
idF1.|PKU COOLER20 RED liquid 174mL|yz5qM|P|2012-10-01
idF2.|PKU EXPRESS20 34g/sachet unflavoured powder|yz5uM|P|2012-10-01
idF3.|PKU EXPRESS20 34g/sachet orange powder|yz5uN|P|2012-10-01
idF4.|PKU EXPRESS20 34g/sachet lemon powder|yz5uO|P|2012-10-01
idF9.|PROMIN X-POT LP rogan style curry 60g|yz5uT|P|2012-10-01
idF6.|PROMIN X-POT LP all day scramble 60g|yz5uQ|P|2012-10-01
idF7.|PROMIN X-POT LP beef and tomato 60g|yz5uR|P|2012-10-01
idF8.|PROMIN X-POT LP chip shop style curry 60g|yz5uS|P|2012-10-01
idF5.|PKU EXPRESS20 34g/sachet tropical powder|yz5uP|P|2012-10-01
idCs.|WARBURTONS GF brown sub bread rolls|yz5rn|P|2012-10-01
idCm.|NAIRN'S GF porridge oats 500g|yz5rh|P|2012-10-01
idCn.|GENIUS GF sliced white bread 600g|yz5ri|P|2012-10-01
idCo.|GENIUS GF sliced brown bread 600g|yz5rj|P|2012-10-01
idCp.|WARBURTONS GF sliced white bread 400g|yz5rk|P|2012-10-01
idCq.|WARBURTONS GF sliced brown bread 400g|yz5rl|P|2012-10-01
idCr.|WARBURTONS GF white sub bread rolls|yz5rm|P|2012-10-01
mifq.|CLINIPOD sodium chloride 0.9% sterile solution 20mL|yz5qq|P|2012-10-01
lA14.|MANDANOL 0.9% nose drops 10mL|yz5rq|P|2012-10-01
ip3z.|COLECALCIFEROL 800iu capsules|yz5qi|P|2012-10-01
ip3w.|ACCRETE D3 tablets|yz5jg|P|2012-10-01
ip3x.|CALCIUM CARBONATE+COLECALCIFEROL 1.5g/10micrograms tablets|yz5jh|P|2012-10-01
ip3y.|FULTIUM-D3 800iu capsules|yz5qh|P|2012-10-01
i319.|HYDROXOCOBALAMIN 5g powder for solution for infusion|yz5hd|P|2012-10-01
i318.|CYANOKIT 5g powder for solution for infusion|yz5hc|P|2012-10-01
idjo.|TYR EXPRESS20 34g/sachet unflavoured powder|yz5uW|P|2012-10-01
idjk.|TYR GEL 24g/sachet powder|yz5qR|P|2012-10-01
idjl.|GA GEL 24g/sachet powder|yz5qS|P|2012-10-01
idjm.|TYR COOLER ORANGE liquid 130mL|yz5qT|P|2012-10-01
idjn.|TYR COOLER RED liquid 130mL|yz5qU|P|2012-10-01
id5q.|NEOCATE SPOON 37g/sachet powder|yz5uL|P|2012-10-01
iE13.|CINRYZE 500units powder+solvent for solution for injection|yz5qD|P|2012-10-01
